比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中乙南区预赛,1,2006.05.06,安徽九方,2,0,上海东亚,负,/
中乙南区预赛,2,2006.05.13,武汉雅琪,2,0,上海东亚,负,/
中乙南区预赛,4,2006.05.27,丽江东巴,1,0,上海东亚,负,/
中乙南区预赛,5,2006.06.03,上海东亚,1,1,宁波中豹,平,吕文君
中乙南区预赛,6,2006.07.15,广西天基,3,2,上海东亚,负,敖飞帆，吕文君
中乙南区预赛,7,2006.07.22,上海东亚,5,2,苏州趣普仕,胜,吕文君2(1PK)，曹赟定，朱峥嵘，姜至鹏
中乙南区预赛,8,2006.07.29,上海东亚,2,2,四川,平,朱峥嵘2
中乙南区预赛,9,2006.08.05,上海东亚,1,2,宁波华奥,负,姜至鹏
中乙南区预赛,10,2006.08.12,上海东亚,1,2,安徽九方,负,朱峥嵘
中乙南区预赛,11,2006.08.19,上海东亚,4,1,武汉雅琪,胜,朱峥嵘2，曹赟定，吕文君
中乙南区预赛,13,2006.09.02,上海东亚,3,5,丽江东巴,负,曹赟定，敖飞帆，吕文君
中乙南区预赛,14,2006.09.09,宁波中豹,0,0,上海东亚,平,/
中乙南区预赛,15,2006.09.16,上海东亚,1,3,广西天基,负,吕文君
中乙南区预赛,16,2006.09.23,苏州趣普仕,1,4,上海东亚,胜,朱峥嵘3，曹赟定
中乙南区预赛,17,2006.09.30,四川,1,1,上海东亚,平,吕文君
中乙南区预赛,18,2006.10.07,宁波华奥,1,1,上海东亚,平,吕文君
中乙北区预赛,1,2007.05.05,上海东亚,5,1,青岛黎明,胜,朱峥嵘2，王云龙，曹赟定，吕文君
中乙北区预赛,2,2007.05.12,天津东丽,0,0,上海东亚,平,/
中乙北区预赛,3,2007.05.26,上海东亚,4,0,杭州三超,胜,朱峥嵘2，曹赟定，吕文君
中乙北区预赛,4,2007.06.02,呼和浩特滨海,2,4,上海东亚,胜,曹赟定2，朱峥嵘2
中乙北区预赛,5,2007.06.09,上海东亚,3,1,火车头泰丽达,胜,曹赟定2，吕文君
