轮次,比赛日期,星期,时间,主队,客队,比分 (主:客),赛果 (海港视角)
1,2017-03-04,星期六,19:35,上海上港,长春亚泰,5:1,胜
2,2017-03-10,星期五,19:35,上海上港,延边富德,2:0,胜
3,2017-04-01,星期六,19:35,广州恒大,上海上港,3:2,负
4,2017-04-07,星期五,19:35,上海上港,山东鲁能,2:1,胜
5,2017-04-15,星期六,19:35,天津权健,上海上港,1:1,平
6,2017-04-21,星期五,19:35,上海上港,河北华夏幸福,3:0,胜
7,2017-04-30,星期日,19:35,重庆力帆,上海上港,0:0,平
8,2017-05-06,星期六,19:35,上海上港,贵州智诚,3:0,胜
9,2017-05-14,星期日,19:35,天津泰达,上海上港,1:1,平
10,2017-05-20,星期六,19:35,上海申花,上海上港,1:3,胜
11,2017-05-27,星期六,19:35,上海上港,北京国安,5:1,胜
12,2017-06-03,星期六,19:35,上海上港,辽宁宏运,4:1,胜
13,2017-06-18,星期日,19:35,广州富力,上海上港,1:1,平
14,2017-06-25,星期日,19:35,上海上港,河南建业,4:1,胜
15,2017-07-01,星期六,19:35,江苏苏宁,上海上港,0:1,胜
16,2017-07-09,星期日,19:35,长春亚泰,上海上港,4:2,负
17,2017-07-15,星期六,15:30,延边富德,上海上港,1:3,胜
18,2017-07-22,星期六,19:35,上海上港,广州恒大,2:2,平
19,2017-07-30,星期日,19:35,山东鲁能,上海上港,2:1,负
20,2017-08-06,星期日,19:35,上海上港,天津权健,0:0,平
21,2017-08-10,星期四,19:35,河北华夏幸福,上海上港,2:2,平
22,2017-08-13,星期日,19:35,上海上港,重庆力帆,3:2,胜
23,2017-08-19,星期六,17:30,贵州恒丰智诚,上海上港,2:1,负
24,2017-09-09,星期六,19:35,上海上港,天津泰达,3:1,胜
25,2017-09-16,星期六,19:35,上海上港,上海申花,6:1,胜
26,2017-09-22,星期五,19:35,北京国安,上海上港,0:1,胜
27,2017-10-14,星期六,19:35,辽宁宏运,上海上港,3:3,平
28,2017-10-21,星期六,19:35,上海上港,广州富力,1:2,负
29,2017-10-29,星期日,19:35,河南建业,上海上港,2:4,胜
30,2017-11-04,星期六,15:00,上海上港,江苏苏宁,2:3,负
