轮次,比赛日期,星期,时间,主队,客队,比分(主:客),赛果(海港视角)
1,2018-03-03,星期六,19:35,上海海港,大连一方,8:0,胜
2,2018-03-10,星期六,19:35,上海申花,上海海港,0:2,胜
3,2018-03-18,星期日,15:30,广州富力,上海海港,2:5,胜
4,2018-03-30,星期五,19:35,上海海港,重庆力帆,2:1,胜
5,2018-04-08,星期日,19:35,河南建业,上海海港,1:2,胜
6,2018-04-13,星期五,20:00,上海海港,河北华夏幸福,2:0,胜
7,2018-04-22,星期日,20:00,上海海港,天津泰达,1:1,平
8,2018-04-29,星期日,15:30,长春亚泰,上海海港,2:1,负
9,2018-05-05,星期六,19:35,上海海港,北京国安,1:2,负
10,2018-05-12,星期六,15:30,贵州恒丰,上海海港,1:1,平
11,2018-05-20,星期日,20:00,上海海港,江苏苏宁,2:0,胜
12,2018-07-17,星期二,19:35,山东鲁能,上海海港,1:1,平
13,2018-09-18,星期二,19:35,上海海港,广州恒大,2:1,胜
14,2018-07-28,星期六,18:00,北京人和,上海海港,1:5,胜
15,2018-08-01,星期三,20:00,上海海港,天津权健,4:1,胜
16,2018-08-05,星期日,19:35,大连一方,上海海港,1:0,负
17,2018-08-11,星期六,19:35,上海海港,上海申花,2:0,胜
18,2018-08-15,星期三,18:00,上海海港,广州富力,3:1,胜
19,2018-08-18,星期六,19:35,重庆力帆,上海海港,2:3,胜
20,2018-08-25,星期六,19:35,上海海港,河南建业,2:1,胜
21,2018-09-01,星期六,19:35,河北华夏幸福,上海海港,1:1,平
22,2018-09-14,星期五,19:35,天津泰达,上海海港,2:5,胜
23,2018-09-22,星期六,19:35,上海海港,长春亚泰,3:1,胜
24,2018-09-29,星期六,19:35,北京国安,上海海港,0:1,胜
25,2018-10-07,星期日,19:35,上海海港,贵州恒丰,5:0,胜
26,2018-10-21,星期日,19:35,江苏苏宁,上海海港,0:0,平
27,2018-10-28,星期日,19:35,上海海港,山东鲁能,4:2,胜
28,2018-11-03,星期六,19:35,广州恒大,上海海港,4:5,胜
29,2018-11-07,星期三,19:35,上海海港,北京人和,2:1,胜
30,2018-11-11,星期日,15:00,天津权健,上海海港,3:2,负
