"轮次,比赛日期,星期,时间,主队,客队,比分 (主:客),赛果 (海港视角)"
"Matchweek 1,2019-03-01,星期五,19:35,上海申花,上海上港,0:4,胜"
"Matchweek 2,2019-03-09,星期六,19:35,上海上港,江苏苏宁,3:2,胜"
"Matchweek 3,2019-03-30,星期六,19:35,河北华夏幸福,上海上港,1:2,胜"
"Matchweek 4,2019-04-05,星期五,19:35,上海上港,重庆力帆,2:3,负"
"Matchweek 5,2019-04-14,星期日,19:35,上海上港,武汉卓尔,2:1,胜"
"Matchweek 6,2019-04-19,星期五,19:35,天津天海,上海上港,0:0,平"
"Matchweek 7,2019-04-28,星期日,15:30,天津泰达,上海上港,0:2,胜"
"Matchweek 8,2019-05-04,星期六,17:30,上海上港,广州富力,2:0,胜"
"Matchweek 9,2019-05-12,星期日,19:35,上海上港,山东鲁能,2:1,胜"
"Matchweek 10,2019-05-17,星期五,18:00,河南建业,上海上港,0:1,胜"
"Matchweek 11,2019-05-26,星期日,19:35,上海上港,北京国安,2:1,胜"
"Matchweek 12,2019-06-02,星期日,15:00,大连一方,上海上港,1:2,胜"
"Matchweek 13,2019-06-14,星期五,20:00,上海上港,广州恒大,0:2,负"
"Matchweek 14,2019-06-22,星期六,19:35,上海上港,北京人和,3:0,胜"
"Matchweek 15,2019-06-30,星期日,19:35,深圳佳兆业,上海上港,0:1,胜"
"Matchweek 16,2019-07-06,星期六,19:35,上海上港,上海申花,3:1,胜"
"Matchweek 17,2019-07-13,星期六,19:35,江苏苏宁,上海上港,0:3,胜"
"Matchweek 18,2019-07-17,星期三,19:35,上海上港,河北华夏幸福,3:0,胜"
"Matchweek 19,2019-07-21,星期日,20:00,重庆力帆,上海上港,2:2,平"
"Matchweek 20,2019-07-28,星期日,19:35,武汉卓尔,上海上港,1:1,平"
"Matchweek 21,2019-08-03,星期六,20:00,上海上港,天津天海,0:0,平"
"Matchweek 23,2019-08-09,星期五,19:35,广州富力,上海上港,2:2,平"
"Matchweek 22,2019-08-14,星期三,19:35,上海上港,天津泰达,5:1,胜"
"Matchweek 24,2019-09-13,星期五,19:35,山东鲁能,上海上港,3:1,负"
"Matchweek 25,2019-09-22,星期日,19:35,上海上港,河南建业,2:1,胜"
"Matchweek 26,2019-10-19,星期六,19:35,北京国安,上海上港,0:2,胜"
"Matchweek 27,2019-10-27,星期日,19:35,上海上港,大连一方,3:0,胜"
"Matchweek 28,2019-11-23,星期六,19:35,广州恒大,上海上港,2:0,负"
"Matchweek 29,2019-11-27,星期三,19:35,北京人和,上海上港,1:1,平"
"Matchweek 30,2019-12-01,星期日,15:00,上海上港,深圳佳兆业,6:0,胜"
