比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中超联赛,1,2019.03.01,上海申花,0,4,上海上港,胜,吕文君，奥斯卡，艾哈迈多夫，瓜林(OG)
中超联赛,2,2019.03.09,上海上港,3,2,江苏苏宁,胜,张卫，吕文君，汪嵩(OG)
中超联赛,3,2019.03.30,河北华夏,1,2,上海上港,胜,埃尔克森，艾哈迈多夫
中超联赛,4,2019.04.05,上海上港,2,3,重庆力帆,负,吕文君，胡尔克/颜骏凌(OG)
中超联赛,5,2019.04.14,上海上港,2,1,武汉卓尔,胜,埃尔克森，胡尔克(PK)
中超联赛,6,2019.04.19,天津天海,0,0,上海上港,平,/
中超联赛,7,2019.04.28,天津泰达,0,2,上海上港,胜,埃尔克森2
中超联赛,8,2019.05.04,上海上港,2,0,广州富力,胜,李圣龙，胡尔克
中超联赛,9,2019.05.12,上海上港,2,1,山东鲁能,胜,埃尔克森，胡尔克(PK)
中超联赛,10,2019.05.17,河南建业,0,1,上海上港,胜,埃尔克森
中超联赛,11,2019.05.26,上海上港,2,1,北京国安,胜,奥斯卡，蔡慧康
中超联赛,12,2019.06.02,大连一方,1,2,上海上港,胜,埃尔克森，李圣龙
中超联赛,13,2019.06.14,上海上港,0,2,广州恒大,负,/
中超联赛,14,2019.06.22,上海上港,3,0,北京人和,胜,奥斯卡，李圣龙，埃尔克森
中超联赛,15,2019.06.30,深圳佳兆业,0,1,上海上港,胜,奥斯卡/胡尔克(PK)
中超联赛,16,2019.07.06,上海上港,3,1,上海申花,胜,胡尔克2，王燊超/贺惯(OG)，埃尔克森(PK)
中超联赛,17,2019.07.13,江苏苏宁,0,3,上海上港,胜,胡尔克，张卫，奥斯卡
中超联赛,18,2019.07.17,上海上港,3,0,河北华夏,胜,陈彬彬，胡尔克，奥斯卡
中超联赛,19,2019.07.21,重庆力帆,2,2,上海上港,平,阿瑙托维奇，元敏诚(OG)
中超联赛,20,2019.07.28,武汉卓尔,1,1,上海上港,平,阿瑙托维奇
中超联赛,21,2019.08.03,上海上港,0,0,天津天海,平,/
中超联赛,23(提前),2019.08.09,广州富力,2,2,上海上港,平,阿瑙托维奇(PK)，胡靖航
中超联赛,22,2019.08.14,上海上港,5,1,天津泰达,胜,吕文君，阿瑙托维奇，李圣龙，蔡慧康，艾哈迈多夫
中超联赛,24,2019.09.13,山东鲁能,3,1,上海上港,负,胡尔克
中超联赛,25,2019.09.22,上海上港,2,1,河南建业,胜,奥斯卡，李圣龙
中超联赛,26,2019.10.19,北京国安,0,2,上海上港,胜,李圣龙，艾哈迈多夫
中超联赛,27,2019.10.27,上海上港,3,0,大连一方,胜,李圣龙，奥斯卡，周挺(OG)
中超联赛,28,2019.11.23,广州恒大,2,0,上海上港,负,/
中超联赛,29,2019.11.27,北京人和,1,1,上海上港,平,阿瑙托维奇
中超联赛,30,2019.12.01,上海上港,6,0,深圳佳兆业,胜,阿瑙托维奇4，胡尔克，奥斯卡
