轮次,比赛日期,星期,时间,主队,客队,比分 (主:客),赛果 (海港视角),地点
1,2022/6/4,星期六,15:30,​​上海海港​​,武汉长江,0:01,​​负​​,主场
2,2022/6/8,星期三,19:30,上海申花,​​上海海港​​,2:00,​​负​​,客场
3,2022/6/11,星期六,19:30,河北,​​上海海港​​,0:02,​​胜​​,客场
4,2022/6/15,星期三,17:30,​​上海海港​​,广州,1:00,​​胜​​,主场
5,2022/6/19,星期日,19:35,武汉三镇,​​上海海港​​,2:01,​​负​​,客场
6,2022/6/25,星期六,19:30,武汉长江,​​上海海港​​,1:02,​​胜​​,客场
7,2022/6/29,星期三,15:30,​​上海海港​​,上海申花,1:01,​​平​​,主场
8,2022/7/4,星期一,17:30,​​上海海港​​,河北,2:01,​​胜​​,主场
9,2022/7/8,星期五,19:30,广州,​​上海海港​​,0:01,​​胜​​,客场
10,2022/7/12,星期二,18:30,​​上海海港​​,武汉三镇,0:01,​​负​​,主场
11,2022/8/6,星期六,17:30,大连人,​​上海海港​​,1:01,​​平​​,客场
13,2022/8/16,星期二,19:30,​​上海海港​​,深圳,2:00,​​胜​​,主场
14,2022/8/20,星期六,19:30,​​上海海港​​,浙江,1:01,​​平​​,主场
15,2022/8/27,星期六,17:30,​​上海海港​​,天津津门虎,1:00,​​胜​​,主场
12,2022/9/1,星期四,17:30,沧州雄狮,​​上海海港​​,0:00,​​平​​,客场
16,2022/9/20,星期二,19:30,河南嵩山龙门,​​上海海港​​,1:02,​​胜​​,客场
17,2022/9/25,星期日,17:30,​​上海海港​​,广州城,2:00,​​胜​​,主场
18,2022/9/29,星期四,17:30,​​上海海港​​,成都蓉城,3:00,​​胜​​,主场
21,2022/10/5,星期三,19:30,​​上海海港​​,北京国安,0:01,​​负​​,主场
22,2022/10/9,星期日,15:30,长春亚泰,​​上海海港​​,1:04,​​胜​​,客场
19,2022/10/24,星期一,17:30,​​上海海港​​,梅州客家,7:00,​​胜​​,主场
20,2022/10/30,星期日,19:30,山东泰山,​​上海海港​​,3:01,​​负​​,客场
23,2022/11/4,星期五,17:30,​​上海海港​​,大连人,2:01,​​胜​​,主场
24,2022/11/8,星期二,17:30,​​上海海港​​,沧州雄狮,2:00,​​胜​​,主场
25,2022/11/13,星期日,19:00,深圳,​​上海海港​​,0:03,​​胜​​,客场
26,2022/11/22,星期二,19:30,浙江,​​上海海港​​,2:01,​​负​​,客场
27,2022/11/26,星期六,20:00,天津津门虎,​​上海海港​​,1:00,​​负​​,客场
28,2022/11/30,星期三,19:30,​​上海海港​​,河南嵩山龙门,1:03,​​负​​,主场
29,2022/12/4,星期日,19:30,广州城,​​上海海港​​,1:02,​​胜​​,客场
30,2022/12/10,星期六,15:00,成都蓉城,​​上海海港​​,0:00,​​平​​,客场
31,2022/12/15,星期四,19:30,梅州客家,​​上海海港​​,0:01,​​胜​​,客场
32,2022/12/23,星期五,20:00,​​上海海港​​,山东泰山,2:00,​​胜​​,主场
33,2022/12/27,星期二,15:00,北京国安,​​上海海港​​,0:03,​​胜​​,客场
34,2022/12/31,星期六,15:00,​​上海海港​​,长春亚泰,4:00,​​胜​​,主场
