号码,姓名,出生年月日,年龄,位置,
1,颜骏凌,1991/1/28,35,GK,
2,李昂,1993/9/15,33,DF,
3,蒋光太,1994/5/27,32,DF,入籍
4,王燊超,1989/2/8,37,DF,
5,张琳芃,1989/5/9,37,DF,
6,蔡慧康,1989/10/10,37,MF,
7,武磊,1991/11/19,35,FW,
8,奥斯卡,1991/9/9,35,MF,F
9,古斯塔沃,1994/3/29,32,FW,F
10,巴尔加斯,1997/5/8,29,FW,F
11,吕文君,1989/3/11,37,FW,
12,陈威,1998/2/14,28,GK,
13,魏震,1997/2/12,29,DF,
14,李圣龙,1992/7/30,34,FW,
16,徐新,1994/4/19,32,MF,
17,沈子贵,2000/12/26,26,FW,台
18,莱奥·奇塔迪尼,1994/2/27,32,MF,
19,王振澳,1999/8/10,27,DF,
20,杨世元,1994/3/11,32,MF,
21,陈彬彬,1998/6/10,28,DF,
22,马修斯·尤萨,1996/3/22,30,MF,F
23,傅欢,1993/7/12,33,DF,
25,杜佳,1993/5/1,33,GK,
27,冯劲,1993/8/14,33,FW,
28,贺惯,1993/1/25,33,DF,
31,鲍世蒙,2003/7/2,23,DF,U21
32,李帅,1995/6/18,31,DF,
33,刘祝润,2001/10/6,25,FW,
37,陈序煌,2003/4/3,23,MF,U21
38,黎德明,2003/9/21,23,FW,U21
41,梁锟,2003/11/2,23,GK,U21
43,王逸伟,2004/3/20,22,DF,U21
45,刘小龙,2003/9/9,23,FW,U21
52,孟敬朝,2004/1/9,22,DM,U21
53,李智良,2007/6/18,19,GK,U21
