轮次,日期,星期,开赛时间,主队,客队,城市
第1轮,2025/2/23,星期日,19:35,上海海港,深圳新鹏城,上海
第2轮,2025/2/28,星期五,19:35,上海海港,长春亚泰,上海
第3轮,2025/3/28,星期五,19:00,青岛西海岸,上海海港,青岛
第4轮,2025/4/2,星期三,20:00,上海海港,梅州客家,上海
第5轮,2025/4/6,星期日,19:35,上海海港,上海申花,上海
第6轮,2025/6/18,星期三,18:00,河南,上海海港,郑州
第7轮,2025/4/16,星期三,18:00,天津津门虎,上海海港,天津
第8轮,2025/4/20,星期日,19:35,上海海港,成都蓉城,上海
第9轮,2025/4/25,星期五,20:00,云南玉昆,上海海港,玉溪
第10轮,2025/5/1,星期四,19:35,上海海港,北京国安,上海
第11轮,2025/5/5,星期一,19:00,武汉三镇,上海海港,武汉
第12轮,2025/5/9,星期五,19:35,上海海港,青岛海牛,上海
第13轮,2025/5/17,星期六,20:00,上海海港,山东泰山,上海
第14轮,2025/6/14,星期六,15:30,浙江,上海海港,杭州
第15轮,2025/6/26,星期四,19:35,上海海港,大连英博,上海
第16轮,2025/6/30,星期一,20:00,深圳新鹏城,上海海港,深圳
第17轮,2025/7/18,星期五,19:35,长春亚泰,上海海港,长春
第18轮,2025/7/26,星期六,19:00,上海海港,青岛西海岸,上海
第19轮,2025/8/2,星期六,20:00,梅州客家,上海海港,五华
第20轮,2025/8/9,星期六,19:35,上海申花,上海海港,上海
第21轮,2025/8/15,星期五,19:35,上海海港,河南,上海
第22轮,2025/8/23,星期六,19:00,上海海港,天津津门虎,上海
第23轮,2025/8/30,星期六,19:35,成都蓉城,上海海港,成都
第24轮,2025/9/12,星期五,18:00,上海海港,云南玉昆,上海
第25轮,2025/9/21,星期日,18:00,北京国安,上海海港,北京
第26轮,2025/9/26,星期五,20:00,上海海港,武汉三镇,上海
第27轮,2025/10/17,星期五,18:00,青岛海牛,上海海港,青岛
第28轮,2025/10/26,星期日,15:30,山东泰山,上海海港,济南
第29轮,2025/10/31,星期五,18:00,上海海港,浙江,上海
第30轮,2025/11/22,星期六,15:30,大连英博,上海海港,大连
