比赛类别,轮次,比赛时间,主队,比分,,客队,赛果,进球队员
中超联赛,1,2025.02.23,上海海港,3,1,深圳新鹏城,胜,尤萨，古斯塔沃，古斯塔沃(PK)/
中超联赛,2,2025.02.28,上海海港,2,0,长春亚泰,胜,冯劲，莱昂纳多/
中超联赛,3,2025.03.28,青岛西海岸,3,3,上海海港,平,/李新翔，古斯塔沃，莱昂纳多
中超联赛,4,2025.04.02,上海海港,2,1,梅州客家,胜,古斯塔沃，李圣龙/
中超联赛,5,2025.04.06,上海海港,1,1,上海申花,平,刘若钒/
中超联赛,7,2025.04.16,天津津门虎,1,4,上海海港,胜,/加布里埃尔，谢维军(OG)，莱昂纳多，王燊超
中超联赛,8,2025.04.20,上海海港,1,3,成都蓉城,负,古斯塔沃/
中超联赛,9,2025.04.25,云南玉昆,2,3,上海海港,胜,/莱昂纳多，加布里埃尔，莱昂纳多
中超联赛,10,2025.05.01,上海海港,1,2,北京国安,负,刘若钒/
中超联赛,11,2025.05.05,武汉三镇,0,2,上海海港,胜,/王燊超，维塔尔
中超联赛,12,2025.05.09,上海海港,3,1,青岛海牛,胜,维塔尔，莱昂纳多，古斯塔沃/
中超联赛,13,2025.05.17,上海海港,1,1,山东泰山,平,武磊(PK)/
中超联赛,14,2025.06.14,浙江俱乐部绿城,2,2,上海海港,平,/加布里埃尔，莱昂纳多
中超联赛,6(补赛),2025.06.18,河南俱乐部酒祖杜康,1,3,上海海港,胜,/李新翔，加布里埃尔，莱昂纳多
中超联赛,15,2025.06.26,上海海港,3,0,大连英博海发,胜,古斯塔沃，李新翔，张琳芃/
中超联赛,16,2025.06.30,深圳新鹏城,1,2,上海海港,胜,/李新翔，莱昂纳多
中超联赛,17,2025.07.18,长春亚泰,1,3,上海海港,胜,/阿不都海米提(OG)，加布里埃尔，徐新
中超联赛,18,2025.07.26,上海海港,2,2,青岛西海岸,平,莱昂纳多，加布里埃尔(PK)/
中超联赛,19,2025.08.02,梅州客家,2,4,上海海港,胜,/加布里埃尔(PK)，莱昂纳多，王嘉楠(OG)，刘若钒
中超联赛,20,2025.08.09,上海申花,1,2,上海海港,胜,/加布里埃尔，莱昂纳多
中超联赛,21,2025.08.15,上海海港,4,1,河南俱乐部酒祖杜康,胜,王燊超，维塔尔，莱昂纳多，梅伦多/
中超联赛,22,2025.08.24,上海海港,1,1,天津津门虎,平,加布里埃尔(PK)/
中超联赛,23,2025.08.30,成都蓉城,4,1,上海海港,负,/李帅
中超联赛,24,2025.09.12,上海海港,4,2,云南玉昆,胜,莱昂纳多，刘若钒，维塔尔(PK)，刘若钒/
中超联赛,25,2025.09.21,北京国安,2,3,上海海港,胜,/莱昂纳多，莱昂纳多，莱昂纳多
中超联赛,26,2025.09.26,上海海港,3,2,武汉三镇,胜,李帅，莱昂纳多，莱昂纳多/
中超联赛,27,2025.10.17,青岛海牛,3,4,上海海港,胜,/加布里埃尔，莱昂纳多，莱昂纳多，李新翔
中超联赛,28,2025.10.26,山东泰山,3,1,上海海港,负,/李新翔
中超联赛,29,2025.10.31,上海海港,3,0,浙江俱乐部绿城,胜,刘浩帆(OG)，王燊超，维塔尔/
中超联赛,30,2025.11.22,大连英博海发,0,1,上海海港,胜,/加布里埃尔
