season,match_type,match_name,round,date,home_team,away_team,result,win_loss
2006,中乙南区预赛,中乙南区预赛1轮,第1轮,2006-05-06,安徽九方,上海东亚,2-0,负
2006,中乙南区预赛,中乙南区预赛2轮,第2轮,2006-05-13,武汉雅琪,上海东亚,2-0,负
2006,中乙南区预赛,中乙南区预赛4轮,第4轮,2006-05-27,丽江东巴,上海东亚,1-0,负
2006,中乙南区预赛,中乙南区预赛5轮,第5轮,2006-06-03,上海东亚,宁波中豹,1-1,平
2006,中乙南区预赛,中乙南区预赛6轮,第6轮,2006-07-15,广西天基,上海东亚,3-2,负
2006,中乙南区预赛,中乙南区预赛7轮,第7轮,2006-07-22,上海东亚,苏州趣普仕,5-2,胜
2006,中乙南区预赛,中乙南区预赛8轮,第8轮,2006-07-29,上海东亚,四川,2-2,平
2006,中乙南区预赛,中乙南区预赛9轮,第9轮,2006-08-05,上海东亚,宁波华奥,1-2,负
2006,中乙南区预赛,中乙南区预赛10轮,第10轮,2006-08-12,上海东亚,安徽九方,1-2,负
2006,中乙南区预赛,中乙南区预赛11轮,第11轮,2006-08-19,上海东亚,武汉雅琪,4-1,胜
2006,中乙南区预赛,中乙南区预赛13轮,第13轮,2006-09-02,上海东亚,丽江东巴,3-5,负
2006,中乙南区预赛,中乙南区预赛14轮,第14轮,2006-09-09,宁波中豹,上海东亚,0-0,平
2006,中乙南区预赛,中乙南区预赛15轮,第15轮,2006-09-16,上海东亚,广西天基,1-3,负
2006,中乙南区预赛,中乙南区预赛16轮,第16轮,2006-09-23,苏州趣普仕,上海东亚,1-4,胜
2006,中乙南区预赛,中乙南区预赛17轮,第17轮,2006-09-30,四川,上海东亚,1-1,平
2006,中乙南区预赛,中乙南区预赛18轮,第18轮,2006-10-07,宁波华奥,上海东亚,1-1,平
2007,中乙北区预赛,中乙北区预赛1轮,第1轮,2007-05-05,上海东亚,青岛黎明,5-1,胜
2007,中乙北区预赛,中乙北区预赛2轮,第2轮,2007-05-12,天津东丽,上海东亚,0-0,平
2007,中乙北区预赛,中乙北区预赛3轮,第3轮,2007-05-26,上海东亚,杭州三超,4-0,胜
2007,中乙北区预赛,中乙北区预赛4轮,第4轮,2007-06-02,呼和浩特滨海,上海东亚,2-4,胜
2007,中乙北区预赛,中乙北区预赛5轮,第5轮,2007-06-09,上海东亚,火车头泰丽达,3-1,胜
2007,中乙北区预赛,中乙北区预赛6轮,第6轮,2007-06-23,上海东亚,新疆体彩,2-3,负
2007,中乙北区预赛,中乙北区预赛7轮,第7轮,2007-06-30,镇江中安,上海东亚,0-0,平
2007,中乙北区预赛,中乙北区预赛8轮,第8轮,2007-08-04,青岛黎明,上海东亚,0-4,胜
2007,中乙北区预赛,中乙北区预赛9轮,第9轮,2007-08-11,上海东亚,天津东丽,2-1,胜
2007,中乙北区预赛,中乙北区预赛11轮,第11轮,2007-09-01,上海东亚,呼和浩特滨海,0-0,平
2007,中乙北区预赛,中乙北区预赛12轮,第12轮,2007-09-08,火车头泰丽达,上海东亚,2-0,负
2007,中乙北区预赛,中乙北区预赛10(补赛)轮,第10轮（补赛）,2007-09-14,杭州三超,上海东亚,0-1,胜
2007,中乙北区预赛,中乙北区预赛13轮,第13轮,2007-09-22,新疆体彩,上海东亚,1-2,胜
2007,中乙北区预赛,中乙北区预赛14轮,第14轮,2007-09-29,上海东亚,镇江中安,3-1,胜
